biomarker	genome_id
g__Ruthenibacterium	1550024.406
g__Alistipes	538949.5211
g__Akkermansia	349741.6
g__UBA3857	Not found
g__Parabacteroides	823.5143
g__Agathobacter	39491.2717
g__Alistipes_A	Not found
g__Fusicatenibacter	Not found
g__Ruminococcus_D	Not found
g__CAG-83	Not found
g__Bifidobacterium	302911.168
g__Clostridium_AQ	Not found
g__Anaerotruncus	169435.96
g__Fimimonas	Not found
g__Scatomorpha	Not found
g__Dysosmobacter	2093857.296
g__Roseburia	301302.2593
g__Desulfovibrio	167968.4
g__Limosilactobacillus	47493.18
g__Haemophilus_D	Not found
g__Butyricimonas	544645.202
g__Enterocloster	208479.8
g__Cloacibacillus	508460.19
g__Faecalibacterium	2929489.4
g__Hungatella	154046.362
g__Clostridium_A	Not found
g__Copromorpha	Not found
g__Phil1	Not found
g__Longibaculum	2584943.3
g__Limiplasma	2952930.20
g__Gabonibacter	Not found
g__CAG-313	Not found
g__Bilophila	Not found
g__Lactobacillus	1584.289
g__Fimivivens	Not found
g__BX7	Not found
g__UBA1774	Not found
g__UBA2883	Not found
g__Spyradocola	Not found
g__Blautia_A	Not found
g__Anaerofustis	904996.10
g__CAG-302	Not found
g__Lachnoclostridium_B	Not found
g__Agathobaculum	3079302.3
g__Schaedlerella	Not found
g__NSJ-63	Not found
g__Scatosoma	Not found
g__Christensenella	1805714.3
g__CAG-41	Not found
g__Choladocola	Not found
g__Bacteroides	818.3367
g__Pararuminococcus	Not found
g__GCA-900199385	Not found
g__CAG-1427	Not found
g__UMGS1491	Not found
g__Bariatricus	Not found
g__Ventricola	Not found
g__Clostridium_Q	Not found
g__Eubacterium	39490.291
g__UBA737	Not found
g__Pseudobutyricicoccus	Not found
g__Ruminiclostridium_E	Not found
g__Methylobacterium	31998.82
g__Faecousia	Not found
g__CAG-266	Not found
g__Methanobrevibacter_A	Not found
g__Victivallis	Not found
g__CAG-177	Not found
g__Cryptobacteroides	Not found
g__Ventrimonas	Not found
g__Clostridium_AP	Not found
g__Lawsonibacter	2108523.138
g__Eggerthella	502558.4
g__Angelakisella	Not found
g__GCA-900066905	Not found
g__Oliverpabstia	Not found
g__Lachnospira	39485.1739
g__Dielma	Not found
g__Coprobacter	1099853.189
g__Odoribacter	709991.3
g__Lacticaseibacillus	1597.2081
g__Peptoniphilus_A	Not found
g__UBA1685	Not found
g__HGM11327	Not found
g__Massilistercora	2086584.3
g__Weissella	137591.87
g__Coprobacillus	Not found
g__Raoultibacter	1907662.33
g__Merdibacter	Not found
g__Eisenbergiella	2652274.19
g__Selenomonas_A	Not found
g__Scatomonas	3048880.4
g__Eubacterium_G	Not found
g__Harryflintia	Not found
g__Copromonas	Not found
g__UMGS1375	Not found
g__Ligilactobacillus	1622.1342
g__Collinsella	74426.148
g__Mesosutterella	Not found
g__Intestinimonas	1297617.82
g__Lacrimispora	3151850.3
g__Parvimonas	33033.149
g__Prevotella	1177574.95
g__Emergencia	3114296.4
g__Anaerococcus	3036300.9
g__Massilioclostridium	Not found
g__Campylobacter_B	Not found
g__Butyribacter	Not found
g__UBA11524	Not found
g__UBA644	Not found
g__CAG-492	Not found
g__Campylobacter_A	Not found
g__PeH17	Not found
g__Enterococcus_B	Not found
g__CAG-452	Not found
g__Clostridium_P	Not found
g__Flavonifractor	292800.508
g__Parachristensenella	Not found
g__VUNI01	Not found
g__Anaerostipes	3036926.3
g__Gemmiger	2838610.5
g__Egerieisoma	Not found
g__Massiliomicrobiota	Not found
g__Ruminococcus_C	Not found
g__CAG-238	Not found
g__QALW01	Not found
g__Erysipelatoclostridium	Not found
g__Intestinibacter	261299.118
g__Fusobacterium_A	Not found
g__Eubacterium_I	Not found
g__Formimonas	1761012.6
g__Dorea_B	Not found
g__UBA7597	Not found
g__Faecalibacillus	1982626.71
g__Dorea_A	Not found
g__Fenollaria	938288.17
g__Anaeromassilibacillus	Not found
g__Tractidigestivibacter	Not found
g__CAG-273	Not found
g__Dolosigranulum	3110288.6
g__Saccharimonas	1332188.3
g__NSJ-62	Not found
g__UMGS1071	Not found
g__UBA7748	Not found
g__UBA1829	Not found
g__Bittarella	Not found
g__Limivicinus	Not found
g__Acetatifactor	Not found
g__CAIFEB01	Not found
g__Chryseobacterium	2966625.3
g__Sphingomonas	1045317.5
g__Variovorax	1034889.3
g__Massilimaliae	Not found
g__UBA5905	Not found
g__NSJ-40	Not found
g__Porphyromonas	837.202
g__UBA4285	Not found
g__Ralstonia	1031711.3
g__Eubacterium_R	Not found
g__UBA5026	Not found
g__Mitsuokella	52226.178
g__Anaeroglobus	Not found
g__Granulicatella	137732.26
g__Glutamicibacter	1933880.10
g__Phocaeicola	357276.2037
g__Pseudoruminococcus_A	Not found
g__Gordonibacter	1841863.14
g__Pseudoxanthomonas_A	Not found
g__Anaerobutyricum	39488.10
g__Caproicibacterium	2666138.4
g__QAMX01	Not found
g__Varibaculum	Not found
g__Peptoniphilus_C	Not found
g__Merdimorpha	Not found
g__Soleaferrea	Not found
g__Succinivibrio	540749.20
g__CAG-349	Not found
g__Erwinia	644651.3
g__Limivivens	Not found
g__Limisoma	Not found
g__Duodenibacillus	1852381.130
g__UMGS1326	Not found
g__Acutalibacter	1796620.11
g__Massilicoli	Not found
g__Enterococcus_A	Not found
g__SIG424	Not found
g__Romboutsia	1507512.3
g__JAGZMM01	Not found
g__Enterenecus	Not found
g__CAG-127	Not found
g__Metalachnospira	Not found
g__Muricomes	Not found
g__Paraburkholderia	75105.4
g__Haemophilus	727.4191
g__Mesorhizobium	2880934.10
g__Onthocola_B	Not found
g__Hydrogenoanaerobacterium	Not found
g__Rhodococcus	1831.139
g__Conservatibacter	Not found
g__CAG-475	Not found
g__Rothia	2047.140
g__CAG-196	Not found
g__NSJ-51	Not found
g__KLE1615	Not found
g__Actinomyces	461393.31
g__Finegoldia	1260.192
g__Allisonella	Not found
g__Gleimia	Not found
g__Bradyrhizobium	1037409.3
g__Turicibacter	2963365.3
g__Howiella	Not found
g__CAG-217	Not found
g__Megamonas	158847.58
g__Pyramidobacter	3068894.4
g__Aerococcus	1377.48
g__Ruminococcus_E	Not found
g__Butyricicoccus_A	Not found
g__Pseudoflavonifractor	2779352.4
g__Lapidilactobacillus	51664.5
g__CAG-95	Not found
g__Fournierella	Not found
g__Porphyromonas_A	Not found
g__CAG-485	Not found
g__Enorma	1871019.14
g__UBA7173	Not found
g__Bacteroides_F	Not found
g__Choladousia	Not found
g__OM05-12	Not found
g__CAG-465	Not found
g__Morganella	582.647
g__Merdisoma	Not found
g__Lachnoclostridium	357809.8
g__Stercorousia	Not found
g__UBA1394	Not found
g__Adlercreutzia	2707299.3
g__Ruminococcus_F	Not found
g__Microbacterium	3149040.3
g__Ruminococcus_B	Not found
g__Pygmaiobacter	1929308.12
g__CAG-1031	Not found
g__1XD42-69	Not found
g__Merdousia	Not found
g__Peptostreptococcus	3003601.3
g__Mobiluncus	2051.55
g__Mediterraneibacter_A	Not found
g__Paraeggerthella	230658.19
g__CAG-488	Not found
g__Pauljensenia	Not found
